text,category
Ate burger at McDonald's costing Rs 2030,Food
Ate biryani at Swiggy costing Rs 3473,Food
Ate burger at McDonald's costing Rs 3205,Food
Bought noodles from KFC Rs 3130,Food
Bought burger from McDonald's Rs 2006,Food
Bought coffee from Starbucks Rs 734,Food
Ordered pizza from Domino's for Rs 2769,Food
Ordered coffee from Starbucks for Rs 4678,Food
Bought coffee from Starbucks Rs 2079,Food
Bought pizza from Domino's Rs 3272,Food
Ordered pizza from Domino's for Rs 2556,Food
Ate biryani at Swiggy costing Rs 4276,Food
Ordered biryani from Swiggy for Rs 1252,Food
Bought coffee from Starbucks Rs 1590,Food
Ate noodles at KFC costing Rs 4229,Food
Ate noodles at KFC costing Rs 970,Food
Ordered biryani from Swiggy for Rs 3088,Food
Ordered pizza from Domino's for Rs 1598,Food
Ordered burger from McDonald's for Rs 4134,Food
Ordered noodles from KFC for Rs 1321,Food
Ate coffee at Starbucks costing Rs 4560,Food
Ate biryani at Swiggy costing Rs 2752,Food
Bought coffee from Starbucks Rs 108,Food
Bought noodles from KFC Rs 646,Food
Bought coffee from Starbucks Rs 3462,Food
Bought biryani from Swiggy Rs 2542,Food
Ate pizza at Domino's costing Rs 203,Food
Ate coffee at Starbucks costing Rs 3244,Food
Bought pizza from Domino's Rs 1430,Food
Bought pizza from Domino's Rs 3363,Food
Ate pizza at Domino's costing Rs 2767,Food
Ordered burger from McDonald's for Rs 3459,Food
Ordered biryani from Swiggy for Rs 3734,Food
Ate noodles at KFC costing Rs 3434,Food
Bought noodles from KFC Rs 4313,Food
Bought biryani from Swiggy Rs 1544,Food
Ate biryani at Swiggy costing Rs 4525,Food
Bought noodles from KFC Rs 3977,Food
Bought coffee from Starbucks Rs 4255,Food
Bought biryani from Swiggy Rs 1424,Food
Ate noodles at KFC costing Rs 418,Food
Ordered biryani from Swiggy for Rs 2712,Food
Bought pizza from Domino's Rs 3827,Food
Ordered biryani from Swiggy for Rs 3419,Food
Ate pizza at Domino's costing Rs 4561,Food
Bought noodles from KFC Rs 958,Food
Ordered pizza from Domino's for Rs 3005,Food
Bought pizza from Domino's Rs 4238,Food
Bought biryani from Swiggy Rs 2653,Food
Ate burger at McDonald's costing Rs 2262,Food
Bought biryani from Swiggy Rs 2397,Food
Bought pizza from Domino's Rs 4020,Food
Ate noodles at KFC costing Rs 3451,Food
Bought burger from McDonald's Rs 4614,Food
Bought noodles from KFC Rs 4992,Food
Ate burger at McDonald's costing Rs 1609,Food
Ate coffee at Starbucks costing Rs 4925,Food
Ordered noodles from KFC for Rs 4070,Food
Ate pizza at Domino's costing Rs 621,Food
Ordered coffee from Starbucks for Rs 3568,Food
Ordered pizza from Domino's for Rs 1616,Food
Ordered noodles from KFC for Rs 2311,Food
Ordered biryani from Swiggy for Rs 4991,Food
Ate biryani at Swiggy costing Rs 3968,Food
Bought burger from McDonald's Rs 4484,Food
Ordered pizza from Domino's for Rs 1971,Food
Bought burger from McDonald's Rs 2702,Food
Bought biryani from Swiggy Rs 354,Food
Ate pizza at Domino's costing Rs 4691,Food
Ordered biryani from Swiggy for Rs 4253,Food
Ordered pizza from Domino's for Rs 4223,Food
Ordered pizza from Domino's for Rs 1447,Food
Ate noodles at KFC costing Rs 3258,Food
Bought noodles from KFC Rs 1004,Food
Ordered noodles from KFC for Rs 292,Food
Ordered biryani from Swiggy for Rs 3954,Food
Ate biryani at Swiggy costing Rs 3879,Food
Ate noodles at KFC costing Rs 3319,Food
Ate biryani at Swiggy costing Rs 3300,Food
Ate pizza at Domino's costing Rs 3372,Food
Ate coffee at Starbucks costing Rs 2205,Food
Ordered biryani from Swiggy for Rs 1272,Food
Bought coffee from Starbucks Rs 2064,Food
Ate burger at McDonald's costing Rs 4612,Food
Bought biryani from Swiggy Rs 2227,Food
Bought noodles from KFC Rs 296,Food
Ordered coffee from Starbucks for Rs 3297,Food
Ate burger at McDonald's costing Rs 923,Food
Ordered pizza from Domino's for Rs 2711,Food
Ordered burger from McDonald's for Rs 1833,Food
Bought coffee from Starbucks Rs 944,Food
Ordered biryani from Swiggy for Rs 291,Food
Bought pizza from Domino's Rs 212,Food
Ordered noodles from KFC for Rs 295,Food
Ate coffee at Starbucks costing Rs 4392,Food
Ordered biryani from Swiggy for Rs 1477,Food
Ate burger at McDonald's costing Rs 1049,Food
Ordered noodles from KFC for Rs 3930,Food
Ordered coffee from Starbucks for Rs 272,Food
Bought biryani from Swiggy Rs 1260,Food
Ordered coffee from Starbucks for Rs 4304,Food
Ordered burger from McDonald's for Rs 3001,Food
Bought noodles from KFC Rs 1788,Food
Ordered pizza from Domino's for Rs 2700,Food
Ordered noodles from KFC for Rs 1199,Food
Ate noodles at KFC costing Rs 2409,Food
Ate noodles at KFC costing Rs 154,Food
Ate coffee at Starbucks costing Rs 883,Food
Ate burger at McDonald's costing Rs 3377,Food
Ordered biryani from Swiggy for Rs 4507,Food
Ordered pizza from Domino's for Rs 3545,Food
Bought noodles from KFC Rs 3396,Food
Ate coffee at Starbucks costing Rs 2585,Food
Ate noodles at KFC costing Rs 1872,Food
Bought noodles from KFC Rs 3558,Food
Bought pizza from Domino's Rs 4730,Food
Bought coffee from Starbucks Rs 1468,Food
Bought coffee from Starbucks Rs 2440,Food
Ordered pizza from Domino's for Rs 3133,Food
Ate biryani at Swiggy costing Rs 1472,Food
Ate noodles at KFC costing Rs 1388,Food
Ate coffee at Starbucks costing Rs 4958,Food
Ate noodles at KFC costing Rs 905,Food
Ordered coffee from Starbucks for Rs 4262,Food
Ate pizza at Domino's costing Rs 884,Food
Ordered noodles from KFC for Rs 2638,Food
Ate biryani at Swiggy costing Rs 1557,Food
Ordered biryani from Swiggy for Rs 3049,Food
Ate coffee at Starbucks costing Rs 3981,Food
Ordered noodles from KFC for Rs 1548,Food
Bought burger from McDonald's Rs 4818,Food
Ordered biryani from Swiggy for Rs 1943,Food
Bought biryani from Swiggy Rs 1079,Food
Ordered coffee from Starbucks for Rs 2592,Food
Ate biryani at Swiggy costing Rs 4865,Food
Ordered pizza from Domino's for Rs 3904,Food
Bought coffee from Starbucks Rs 339,Food
Bought noodles from KFC Rs 678,Food
Ordered pizza from Domino's for Rs 1260,Food
Ordered pizza from Domino's for Rs 3580,Food
Bought noodles from KFC Rs 2274,Food
Ate noodles at KFC costing Rs 3465,Food
Ordered coffee from Starbucks for Rs 2485,Food
Ate noodles at KFC costing Rs 780,Food
Bought burger from McDonald's Rs 3061,Food
Ordered noodles from KFC for Rs 4459,Food
Ordered burger from McDonald's for Rs 1347,Food
Bought burger from McDonald's Rs 4018,Food
Ate biryani at Swiggy costing Rs 1128,Food
Ordered coffee from Starbucks for Rs 4845,Food
Grocery shopping: bread at D-Mart Rs 3380,Groceries
Stocked up on vegetables at More Rs 1306,Groceries
Bought vegetables from More for Rs 3552,Groceries
Stocked up on rice at Big Bazaar Rs 714,Groceries
Stocked up on vegetables at More Rs 2969,Groceries
Bought fruits from local market for Rs 4502,Groceries
Bought vegetables from More for Rs 2015,Groceries
Bought vegetables from More for Rs 2919,Groceries
Grocery shopping: rice at Big Bazaar Rs 2156,Groceries
Stocked up on milk at Reliance Rs 856,Groceries
Bought vegetables from More for Rs 4892,Groceries
Bought fruits from local market for Rs 4288,Groceries
Stocked up on milk at Reliance Rs 1969,Groceries
Stocked up on bread at D-Mart Rs 3102,Groceries
Stocked up on bread at D-Mart Rs 4490,Groceries
Stocked up on vegetables at More Rs 3464,Groceries
Bought bread from D-Mart for Rs 3727,Groceries
Grocery shopping: bread at D-Mart Rs 4353,Groceries
Stocked up on milk at Reliance Rs 2715,Groceries
Stocked up on bread at D-Mart Rs 710,Groceries
Bought rice from Big Bazaar for Rs 207,Groceries
Grocery shopping: bread at D-Mart Rs 4311,Groceries
Stocked up on vegetables at More Rs 1970,Groceries
Grocery shopping: rice at Big Bazaar Rs 2972,Groceries
Grocery shopping: milk at Reliance Rs 1470,Groceries
Bought rice from Big Bazaar for Rs 1970,Groceries
Grocery shopping: rice at Big Bazaar Rs 3610,Groceries
Stocked up on bread at D-Mart Rs 2651,Groceries
Bought bread from D-Mart for Rs 2861,Groceries
Bought milk from Reliance for Rs 4051,Groceries
Bought vegetables from More for Rs 1272,Groceries
Bought vegetables from More for Rs 1586,Groceries
Grocery shopping: fruits at local market Rs 4774,Groceries
Grocery shopping: bread at D-Mart Rs 3003,Groceries
Grocery shopping: vegetables at More Rs 3455,Groceries
Grocery shopping: vegetables at More Rs 1908,Groceries
Stocked up on fruits at local market Rs 2298,Groceries
Grocery shopping: milk at Reliance Rs 3296,Groceries
Stocked up on rice at Big Bazaar Rs 3483,Groceries
Stocked up on vegetables at More Rs 4684,Groceries
Stocked up on vegetables at More Rs 1891,Groceries
Bought bread from D-Mart for Rs 4524,Groceries
Bought vegetables from More for Rs 1585,Groceries
Stocked up on rice at Big Bazaar Rs 3764,Groceries
Bought bread from D-Mart for Rs 415,Groceries
Grocery shopping: fruits at local market Rs 2210,Groceries
Grocery shopping: bread at D-Mart Rs 186,Groceries
Grocery shopping: milk at Reliance Rs 1650,Groceries
Bought fruits from local market for Rs 413,Groceries
Stocked up on fruits at local market Rs 4759,Groceries
Bought milk from Reliance for Rs 2664,Groceries
Bought milk from Reliance for Rs 1644,Groceries
Stocked up on milk at Reliance Rs 2239,Groceries
Stocked up on fruits at local market Rs 1867,Groceries
Bought fruits from local market for Rs 3766,Groceries
Bought rice from Big Bazaar for Rs 4547,Groceries
Stocked up on milk at Reliance Rs 1163,Groceries
Stocked up on fruits at local market Rs 3892,Groceries
Grocery shopping: vegetables at More Rs 2069,Groceries
Grocery shopping: milk at Reliance Rs 1032,Groceries
Bought milk from Reliance for Rs 4343,Groceries
Grocery shopping: vegetables at More Rs 351,Groceries
Grocery shopping: fruits at local market Rs 4166,Groceries
Stocked up on vegetables at More Rs 4179,Groceries
Grocery shopping: vegetables at More Rs 365,Groceries
Grocery shopping: milk at Reliance Rs 3638,Groceries
Stocked up on vegetables at More Rs 2239,Groceries
Grocery shopping: rice at Big Bazaar Rs 3853,Groceries
Grocery shopping: rice at Big Bazaar Rs 2180,Groceries
Bought rice from Big Bazaar for Rs 3207,Groceries
Stocked up on milk at Reliance Rs 206,Groceries
Bought fruits from local market for Rs 3721,Groceries
Bought fruits from local market for Rs 1598,Groceries
Grocery shopping: rice at Big Bazaar Rs 3632,Groceries
Grocery shopping: vegetables at More Rs 2147,Groceries
Grocery shopping: vegetables at More Rs 4726,Groceries
Bought milk from Reliance for Rs 1922,Groceries
Stocked up on milk at Reliance Rs 4456,Groceries
Grocery shopping: bread at D-Mart Rs 4414,Groceries
Stocked up on vegetables at More Rs 3397,Groceries
Bought rice from Big Bazaar for Rs 3511,Groceries
Bought fruits from local market for Rs 4155,Groceries
Grocery shopping: vegetables at More Rs 2530,Groceries
Stocked up on milk at Reliance Rs 3231,Groceries
Stocked up on fruits at local market Rs 2033,Groceries
Stocked up on bread at D-Mart Rs 2648,Groceries
Bought bread from D-Mart for Rs 593,Groceries
Grocery shopping: milk at Reliance Rs 4315,Groceries
Bought bread from D-Mart for Rs 4947,Groceries
Grocery shopping: rice at Big Bazaar Rs 2370,Groceries
Grocery shopping: bread at D-Mart Rs 3270,Groceries
Grocery shopping: fruits at local market Rs 2633,Groceries
Stocked up on rice at Big Bazaar Rs 4746,Groceries
Bought rice from Big Bazaar for Rs 2491,Groceries
Grocery shopping: bread at D-Mart Rs 3158,Groceries
Stocked up on fruits at local market Rs 424,Groceries
Bought fruits from local market for Rs 4033,Groceries
Stocked up on rice at Big Bazaar Rs 3951,Groceries
Grocery shopping: fruits at local market Rs 3744,Groceries
Grocery shopping: bread at D-Mart Rs 4708,Groceries
Grocery shopping: milk at Reliance Rs 2444,Groceries
Grocery shopping: milk at Reliance Rs 3020,Groceries
Grocery shopping: rice at Big Bazaar Rs 3394,Groceries
Stocked up on rice at Big Bazaar Rs 3900,Groceries
Grocery shopping: vegetables at More Rs 147,Groceries
Grocery shopping: fruits at local market Rs 4732,Groceries
Bought milk from Reliance for Rs 3553,Groceries
Grocery shopping: bread at D-Mart Rs 2090,Groceries
Stocked up on milk at Reliance Rs 3533,Groceries
Stocked up on vegetables at More Rs 2552,Groceries
Stocked up on fruits at local market Rs 3307,Groceries
Stocked up on milk at Reliance Rs 4232,Groceries
Grocery shopping: vegetables at More Rs 3112,Groceries
Grocery shopping: rice at Big Bazaar Rs 1468,Groceries
Grocery shopping: vegetables at More Rs 2553,Groceries
Grocery shopping: milk at Reliance Rs 4610,Groceries
Bought bread from D-Mart for Rs 1156,Groceries
Bought rice from Big Bazaar for Rs 1688,Groceries
Bought rice from Big Bazaar for Rs 3943,Groceries
Bought milk from Reliance for Rs 430,Groceries
Grocery shopping: fruits at local market Rs 357,Groceries
Bought bread from D-Mart for Rs 3312,Groceries
Bought milk from Reliance for Rs 1928,Groceries
Grocery shopping: rice at Big Bazaar Rs 3995,Groceries
Bought fruits from local market for Rs 1283,Groceries
Bought milk from Reliance for Rs 2408,Groceries
Stocked up on fruits at local market Rs 156,Groceries
Grocery shopping: fruits at local market Rs 1246,Groceries
Grocery shopping: bread at D-Mart Rs 2444,Groceries
Stocked up on rice at Big Bazaar Rs 1786,Groceries
Stocked up on bread at D-Mart Rs 4255,Groceries
Stocked up on fruits at local market Rs 4695,Groceries
Grocery shopping: bread at D-Mart Rs 2532,Groceries
Stocked up on vegetables at More Rs 2390,Groceries
Bought milk from Reliance for Rs 4384,Groceries
Bought fruits from local market for Rs 3227,Groceries
Bought fruits from local market for Rs 4023,Groceries
Stocked up on milk at Reliance Rs 1196,Groceries
Bought rice from Big Bazaar for Rs 2416,Groceries
Grocery shopping: fruits at local market Rs 3157,Groceries
Bought milk from Reliance for Rs 3158,Groceries
Stocked up on vegetables at More Rs 2892,Groceries
Bought rice from Big Bazaar for Rs 2032,Groceries
Grocery shopping: milk at Reliance Rs 408,Groceries
Bought bread from D-Mart for Rs 2035,Groceries
Grocery shopping: fruits at local market Rs 454,Groceries
Grocery shopping: fruits at local market Rs 656,Groceries
Grocery shopping: rice at Big Bazaar Rs 2689,Groceries
Grocery shopping: milk at Reliance Rs 3777,Groceries
Bought vegetables from More for Rs 3972,Groceries
Took auto to office for Rs 2638,Transportation
Refilled taxi with Rs airport,Transportation
Refilled taxi with Rs airport,Transportation
Refilled cab with Rs station,Transportation
Refilled bus with Rs city,Transportation
Took cab to station for Rs 3431,Transportation
Took taxi to airport for Rs 2246,Transportation
Refilled petrol with Rs bike,Transportation
Took bus to city for Rs 832,Transportation
Refilled bus with Rs city,Transportation
Took petrol to bike for Rs 4907,Transportation
Took taxi to airport for Rs 4182,Transportation
Paid Rs petrol for bike travel,Transportation
Refilled auto with Rs office,Transportation
Took petrol to bike for Rs 3967,Transportation
Took auto to office for Rs 4569,Transportation
Refilled bus with Rs city,Transportation
Paid Rs cab for station travel,Transportation
Took cab to station for Rs 801,Transportation
Refilled petrol with Rs bike,Transportation
Took auto to office for Rs 4903,Transportation
Paid Rs cab for station travel,Transportation
Took cab to station for Rs 3922,Transportation
Paid Rs petrol for bike travel,Transportation
Took cab to station for Rs 2973,Transportation
Took bus to city for Rs 2519,Transportation
Took petrol to bike for Rs 638,Transportation
